asset_id,alpha_source,asset_type,name,status,deploy_url,revenue_total,created_date,last_updated,notes
ASSET001,ALPHA_BATCH_001,APP,ADHD-Streak,DEPLOYED,adhd-streak.surge.sh,$0,2026-02-15,2026-03-08,PWA streak tracker. Email capture active. OG image generated. Needs native mobile conversion.
ASSET002,ALPHA_BATCH_001,APP,PrayerLock,DEPLOYED,prayerlock-web.surge.sh,$0,2026-02-15,2026-03-08,PWA prayer tracker. Email capture active. OG image generated.
ASSET003,ALPHA_BATCH_001,APP,FocusLock,DEPLOYED,focuslock-web.surge.sh,$0,2026-02-15,2026-03-08,PWA focus timer. Email capture active. OG image generated.
ASSET004,ALPHA_BATCH_001,APP,SleepMaxx,DEPLOYED,sleepmaxx-web.surge.sh,$0,2026-02-15,2026-03-08,PWA sleep tracker. Email capture active. OG image generated.
ASSET005,ALPHA_BATCH_001,APP,MealMaxx,DEPLOYED,mealmaxx-web.surge.sh,$0,2026-02-15,2026-03-08,PWA meal tracker. Email capture active. OG image generated.
ASSET006,ALPHA_BATCH_001,APP,WalkToUnlock,DEPLOYED,walktounlock-web.surge.sh,$0,2026-02-15,2026-03-08,PWA walking motivator. Email capture active. OG image generated.
ASSET007,ALPHA_BATCH_001,APP,ColdMaxx,DEPLOYED,coldmaxx.surge.sh,$0,2026-02-15,2026-03-08,PWA cold exposure tracker. Email capture active. OG image generated.
ASSET008,ALPHA_BATCH_001,APP,Hilal,DEPLOYED,hilal-app.surge.sh,$0,2026-02-15,2026-03-08,Ramadan tracker PWA. Email capture active. OG image generated.
ASSET009,ALPHA_BATCH_002,LANDING,Anglican Streak,DEPLOYED,anglican-streak.surge.sh,$0,2026-02-20,2026-03-08,Faith streak landing page. Email capture. CTA fixed to waitlist.
ASSET010,ALPHA_BATCH_002,LANDING,Baptist Streak,DEPLOYED,baptist-streak.surge.sh,$0,2026-02-20,2026-03-08,Faith streak landing page. Email capture. CTA fixed to waitlist.
ASSET011,ALPHA_BATCH_002,LANDING,Catholic Streak,DEPLOYED,catholic-streak.surge.sh,$0,2026-02-20,2026-03-08,Faith streak landing page. Email capture. CTA fixed to waitlist.
ASSET012,ALPHA_BATCH_002,LANDING,Episcopal Streak,DEPLOYED,episcopal-streak.surge.sh,$0,2026-02-20,2026-03-08,Faith streak landing page. Email capture. CTA fixed to waitlist.
ASSET013,ALPHA_BATCH_002,LANDING,Evangelical Streak,DEPLOYED,evangelical-streak.surge.sh,$0,2026-02-20,2026-03-08,Faith streak landing page. Email capture. CTA fixed to waitlist.
ASSET014,ALPHA_BATCH_002,LANDING,Lutheran Streak,DEPLOYED,lutheran-streak.surge.sh,$0,2026-02-20,2026-03-08,Faith streak landing page. Email capture. CTA fixed to waitlist.
ASSET015,ALPHA_BATCH_002,LANDING,Methodist Streak,DEPLOYED,methodist-streak.surge.sh,$0,2026-02-20,2026-03-08,Faith streak landing page. Email capture. CTA fixed to waitlist.
ASSET016,ALPHA_BATCH_002,LANDING,Orthodox Streak,DEPLOYED,orthodox-streak.surge.sh,$0,2026-02-20,2026-03-08,Faith streak landing page. Email capture. CTA fixed to waitlist.
ASSET017,ALPHA_BATCH_002,LANDING,Pentecostal Streak,DEPLOYED,pentecostal-streak.surge.sh,$0,2026-02-20,2026-03-08,Faith streak landing page. Email capture. CTA fixed to waitlist.
ASSET018,ALPHA_BATCH_002,LANDING,Presbyterian Streak,DEPLOYED,presbyterian-streak.surge.sh,$0,2026-02-20,2026-03-08,Faith streak landing page. Email capture. CTA fixed to waitlist.
ASSET019,ALPHA_BATCH_002,LANDING,Protestant Streak,DEPLOYED,protestant-streak.surge.sh,$0,2026-02-20,2026-03-08,Faith streak landing page. Email capture. CTA fixed to waitlist.
ASSET020,ALPHA_BATCH_002,LANDING,Shia Streak,DEPLOYED,shia-streak.surge.sh,$0,2026-02-20,2026-03-08,Faith streak landing page. Email capture. CTA fixed to waitlist.
ASSET021,ALPHA_BATCH_002,LANDING,Sunni Streak,DEPLOYED,sunni-streak.surge.sh,$0,2026-02-20,2026-03-08,Faith streak landing page. Email capture. CTA fixed to waitlist.
ASSET022,MANUAL,LANDING,PRINTMAXX Hub,DEPLOYED,printmaxx.surge.sh,$0,2026-02-10,2026-03-08,Main site. Was 404 for 15h. Fixed and redeployed.
ASSET023,MANUAL,LANDING,PRINTMAXX Apps,DEPLOYED,printmaxx-apps.surge.sh,$0,2026-02-10,2026-03-08,App marketing hub page.
ASSET024,MANUAL,PRODUCT,Gumroad PDF Bundle,BUILT_NOT_LISTED,N/A,$0,2026-02-25,2026-03-08,13 digital products ready. BLOCKED: need Gumroad account.
ASSET025,MANUAL,SERVICE,Fiverr Gigs,BUILT_NOT_LISTED,N/A,$0,2026-02-28,2026-03-08,2 gig descriptions written. BLOCKED: need Fiverr account.
ASSET026,MANUAL,CONTENT,Social Posts Queue,QUEUED,N/A,$0,2026-02-20,2026-03-08,283 posts queued in CONTENT/social/. 0 posted. BLOCKED: need social accounts.
ASSET027,MANUAL,LEADS,Cold Email Drafts,DRAFTED,N/A,$0,2026-03-01,2026-03-08,36+ emails drafted. 5 ready to send. BLOCKED: need human to send from Gmail.
ASSET028,MANUAL,LEADS,Lead Database,COLLECTED,N/A,$0,2026-02-15,2026-03-08,1111 leads collected. 5.7M bulk. 0 contacted.
ASSET029,ALPHA_BATCH_003,LOCAL_BIZ,OpenClaw Nashville,DEPLOYED,reliable-fence-nashville.surge.sh,$0,2026-03-06,2026-03-08,Local biz demo site. Cold email drafted.
ASSET030,ALPHA_BATCH_003,LOCAL_BIZ,OpenClaw Memphis,DEPLOYED,memphis-plumbing-preview.surge.sh,$0,2026-03-07,2026-03-08,Local biz demo site. 35 businesses found. Cold email drafted.
ASSET031,MANUAL,TOOL,ROI Calculator,DEPLOYED,roicalc.surge.sh,$0,2026-02-18,2026-03-08,Lead magnet calculator tool.
