intel_id,company,source,tech_found,text,url,found_date,cold_email_angle
TECH_20260210_0000,HubSpot,HN,crm:hubspot,"the thing that keeps on getting glided past in most discussions of this is the distinction between systems of record and systems of workflow.if you&#x27;re sap, workday, procore, maybe even hubspot, y",https://news.ycombinator.com/item?id=46914486,2026-02-10,Tech intel on HubSpot - tailor outreach to their stack
TECH_20260210_0001,HubSpot,HN,"crm:hubspot, infra:vercel, ai:openai, ai:langchain","  location: nyc, ny
  remote: yes (prefer in person&#x2f;hybrid nyc or sf)
  willing to relocate: yes
  role: marketing&#x2f;growth&#x2f;gtm associate
  skills: social media and event marketing, digit",https://news.ycombinator.com/item?id=46907234,2026-02-10,HubSpot is investing in AI tools - we build custom AI solutions at 1/10th agency cost
TECH_20260210_0002,HubSpot,HN,crm:hubspot,"location: southeast asia (malaysia base, currently nomading)remote: yes (full-remote only)willing to relocate: notechnologies: react, node.js, python, php, sql | ga4, mixpanel, posthog | hubspot, n8n,",https://news.ycombinator.com/item?id=46870882,2026-02-10,Tech intel on HubSpot - tailor outreach to their stack
TECH_20260210_0003,HubSpot,HN,crm:hubspot,"i think ai will fail in any organisation where the business process problems are sometimes discuvered during engineering. i use ai quite a lot, i recently had claude upgrade one of our old services fr",https://news.ycombinator.com/item?id=46867547,2026-02-10,Tech intel on HubSpot - tailor outreach to their stack
TECH_20260210_0004,Figma,HN,"infra:aws, infra:gcp, infra:azure","location: germany, cologne (utc+1)remote: yeswilling to relocate: notechnologies: kubernetes, openshift, gitops, argo cd, helm, docker, ci&#x2f;cd, azure devops, gitlab ci&#x2f;cd, terraform, ansible,",https://news.ycombinator.com/item?id=46956956,2026-02-10,Tech intel on Figma - tailor outreach to their stack
TECH_20260210_0005,Figma,HN,infra:vercel,"location: morelia, michoacán, méxicoremote: yeswilling to relocate: yestechnologies: typescript, next.js, react, tailwind css, vue.js, figmarésumé&#x2f;cv: https:&#x2f;&#x2f;cchavez-portfolio.vercel.a",https://news.ycombinator.com/item?id=46949303,2026-02-10,Tech intel on Figma - tailor outreach to their stack
TECH_20260210_0006,Vercel,HN,infra:vercel,"1 point by lebu 35 days ago | parent | context | next | edit | delete [–] | on: ask hn: who wants to be hired? (january 2026)location: nairobi,kenya remote: yes
willing to relocate: yestechnologies: r",https://news.ycombinator.com/item?id=46957340,2026-02-10,Tech intel on Vercel - tailor outreach to their stack
TECH_20260210_0007,Vercel,HN,"infra:vercel, infra:railway, infra:render","a cautionary tale for anyone using ai assistants to write code that touches paid apisi&#x27;m usually paranoid about costs
let me start by saying: i&#x27;m the guy who reads the fine print.i&#x27;ve b",https://news.ycombinator.com/item?id=46953871,2026-02-10,Tech intel on Vercel - tailor outreach to their stack
TECH_20260210_0008,Vercel,HN,"infra:aws, infra:vercel","location: albuquerque, new mexicoremote: yeswilling to relocate: yestechnologies: typescript, python, next.js, postgresql, aws, docker, airésumé&#x2f;cv: https:&#x2f;&#x2f;tomas-jais-cv.vercel.app&#x2",https://news.ycombinator.com/item?id=46952481,2026-02-10,Tech intel on Vercel - tailor outreach to their stack
TECH_20260210_0009,Vercel,HN,infra:vercel,"location: morelia, michoacán, méxicoremote: yeswilling to relocate: yestechnologies: typescript, next.js, react, tailwind css, vue.js, figmarésumé&#x2f;cv: https:&#x2f;&#x2f;cchavez-portfolio.vercel.a",https://news.ycombinator.com/item?id=46949303,2026-02-10,Tech intel on Vercel - tailor outreach to their stack
TECH_20260210_0010,Supabase,HN,"infra:vercel, infra:railway, infra:render","a cautionary tale for anyone using ai assistants to write code that touches paid apisi&#x27;m usually paranoid about costs
let me start by saying: i&#x27;m the guy who reads the fine print.i&#x27;ve b",https://news.ycombinator.com/item?id=46953871,2026-02-10,Tech intel on Supabase - tailor outreach to their stack
TECH_20260210_0011,Supabase,HN,infra:gcp,"   location: linz&#x2f;austria&#x2f;eu 
   remote: ok (any timezone ok)
   willing to relocate: no 
   technologies: ai (llm, rag, agents, voice, ai-sdk, mastra), typescript, react, next.js, supabase,",https://news.ycombinator.com/item?id=46946892,2026-02-10,Tech intel on Supabase - tailor outreach to their stack
TECH_20260210_0012,Supabase,HN,"analytics:mode, crm:pipedrive, infra:azure, ai:anthropic","working on whisperit v3: a document automation platform for lawyers, voice-first.the idea: lawyers spend 60%+ of their time writing documents. we give them an ai assistant that actually understands le",https://news.ycombinator.com/item?id=46944615,2026-02-10,Supabase is investing in AI tools - we build custom AI solutions at 1/10th agency cost
TECH_20260210_0013,Retool,HN,"analytics:mode, infra:aws, infra:gcp, infra:azure, ai:langchain, ai:pinecone","location: greater new york (us citizen)remote: yes (remote only)willing to relocate: noabout: i am a gen-ai&#x2f;ml full-stack software engineer delivering scalable, and secure solutions that integrat",https://news.ycombinator.com/item?id=46875583,2026-02-10,Retool is investing in AI tools - we build custom AI solutions at 1/10th agency cost
