keyword,search_volume,difficulty,current_rank,target_rank,priority
step counter app,22000,75,0,20,high
walking app,28000,78,0,25,medium
phone addiction app,8500,55,0,12,high
screen time lock,6200,42,0,8,high
fitness motivation,15000,65,0,20,medium
step tracker,18500,70,0,18,medium
walking tracker,12000,58,0,15,medium
phone blocker fitness,1800,15,0,2,high
walk to unlock,500,5,0,1,high
steps unlock phone,400,3,0,1,high
fitness phone lock,900,10,0,1,high
digital detox fitness,1200,12,0,2,high
health motivation app,4500,38,0,8,medium
daily steps app,9200,52,0,12,medium
walking challenge,7800,48,0,10,medium
step goal app,5600,42,0,8,medium
fitness accountability,3200,28,0,5,medium
phone addiction fitness,1100,10,0,1,high
movement reminder,2800,25,0,4,medium
sedentary reminder,2100,20,0,3,medium
get up and walk,1800,18,0,3,high
fitness gamification,2400,22,0,4,medium
walking reward,1500,15,0,2,high
step counter lock,600,5,0,1,high
health phone lock,800,8,0,1,high
fitness habit,5200,42,0,10,medium
daily walking goal,4800,38,0,8,medium
step challenge app,6100,45,0,10,medium
walking motivation,5500,42,0,9,medium
fitness tracker free,14000,68,0,25,low
pedometer app,16000,72,0,22,low
10000 steps app,8200,52,0,12,medium
walking for health,9500,55,0,15,low
movement tracker,4200,35,0,7,medium
active lifestyle app,3800,32,0,6,medium
phone detox app,4500,38,0,8,high
screen addiction,6800,48,0,12,medium
healthy phone habits,1900,18,0,3,high
fitness unlock,700,6,0,1,high
walk first phone,400,3,0,1,high
exercise before phone,500,4,0,1,high
step goal unlock,350,2,0,1,high
fitness discipline,2200,22,0,4,medium
walking tracker free,11000,62,0,20,low
daily movement app,3600,32,0,6,medium
health gamification,2900,28,0,5,medium
step competition,3200,30,0,6,medium
walking buddy app,2500,25,0,5,low
fitness lock screen,1100,12,0,2,high
active phone lock,600,5,0,1,high
