ContentID,Type,Niche,Platform,Title,Status,ScheduledDate,PublishedDate,Engagement,Notes,source_file,content_section,date,platform,account,niche,content_type,content_path,caption,hashtags,status,posted_url,notes,structure_id,structure_name,hook_formula,body_structure,cta_type,cta_example,performance_tier,niche_fit,source,hashtag,avg_posts,competition_level,recommended
A001,Post,AI,X,ChatGPT prompts for email productivity,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A002,Post,AI,X,Top 5 AI tools that replaced $3K in software,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A003,Post,AI,X,How to use Claude for research,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A004,Post,AI,X,Automation workflows nobody talks about,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A005,Post,AI,X,AI stack for solopreneurs 2026,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A006,Post,AI,X,Prompt engineering patterns that work,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A007,Post,AI,X,Building with AI - mistakes to avoid,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A008,Post,AI,TikTok,ChatGPT prompts for email productivity,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A009,Post,AI,TikTok,Top 5 AI tools that replaced $3K in software,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A010,Post,AI,TikTok,How to use Claude for research,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A011,Post,AI,TikTok,Automation workflows nobody talks about,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A012,Post,AI,TikTok,AI stack for solopreneurs 2026,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A013,Post,AI,TikTok,Prompt engineering patterns that work,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A014,Post,AI,TikTok,Building with AI - mistakes to avoid,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A015,Post,AI,Instagram,ChatGPT prompts for email productivity,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A016,Post,AI,Instagram,Top 5 AI tools that replaced $3K in software,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A017,Post,AI,Instagram,How to use Claude for research,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
A018,Post,AI,Instagram,Automation workflows nobody talks about,QUEUED,,,0,Day 1 queue,CONTENT_PIPELINE.csv,pipeline,,,,,,,,,,,,,,,,,,,,,,,,
