niche_id,niche_name,idea_1_title,idea_1_pricing,idea_1_buildtime,idea_2_title,idea_2_pricing,idea_2_buildtime,idea_3_title,idea_3_pricing,idea_3_buildtime
N001,AI Utilities,AI Writing Assistant Layer,$19/mo,3 weeks,Batch AI Processor,$29/mo,1 week,AI Training Data Labeler,$49/mo,4 weeks
N002,Faith/Spirituality,Prayer Accountability Bot,$9/mo,2 weeks,Scripture Memorization Spaced Rep,$14/mo,2.5 weeks,Faith Event Coordinator,$24/mo,3 weeks
N003,Fitness/Gym,AI Workout Form Coach,$12/mo,3 weeks,Micro-Gym Trainer Booking,$19/mo,2.5 weeks,Gym Nutrition Sync,$16/mo,2 weeks
N004,Pet Care,Pet Medical Record Blockchain,$7/mo,2 weeks,Pet Behavior Training Checklist,$11/mo,2 weeks,Pet Wellness Calendar,$13/mo,1.5 weeks
N005,Senior Care,Medication Reminder + Family Alert,$18/mo,2.5 weeks,Memory Game Trainer,$9/mo,3 weeks,Senior Fall Detection,$25/mo,6 weeks
N006,ADHD,ADHD Task Gamification,$12/mo,2 weeks,RSD Coach AI,$14/mo,1.5 weeks,Hyperfocus Session Tracker,$8/mo,1 week
N007,Gen Z Finance,Side Hustle Tracker,$7/mo,5 days,Crypto Tax Prep,$29/mo,2 weeks,Stock Trading Journal,$11/mo,1.5 weeks
N008,Couples,Couples Finance Dashboard,$12/mo,2 weeks,Intimacy Scheduler + Prompts,$9/mo,1 week,Conflict Resolution Coach,$19/mo,2.5 weeks
N009,Women Wellness,Cycle Syncing Nutrition,$11/mo,2.5 weeks,Pelvic Floor Health Trainer,$13/mo,2 weeks,Women's Mental Health Tracker,$14/mo,2 weeks
N010,Students,Study Group Scheduler,$5/mo,2 weeks,College Essay Feedback Exchange,$12/mo,2 weeks,Assignment Deadline Sync,$7/mo,1 week
N011,Sleep,Sleep Coach with CBT-I,$16/mo,3 weeks,Sleep Debt Calculator,$9/mo,1 week,Shift Worker Sleep Planner,$11/mo,1.5 weeks
N012,Gaming,Discord Bot Session Scheduler,$8/mo,1 week,Gaming Performance Coach,$14/mo,3 weeks,Gaming Gear Optimizer,$10/mo,2 weeks
N013,Crypto,Smart Contract Audit Explainer,$12/mo,2 weeks,Portfolio Rebalancing Bot,$19/mo,3 weeks,Crypto News Sentiment Analyzer,$14/mo,2 weeks
N014,Stocks,Stock Thesis Template Helper,$13/mo,1.5 weeks,Dividend Tracker + DRIP,$11/mo,2 weeks,Market Volatility Alerts,$16/mo,2.5 weeks
N015,Motivation,Accountability Partner Bot,$9/mo,1.5 weeks,Personal Growth Curriculum,$17/mo,2.5 weeks,Motivation Streak Gamifier,$8/mo,1 week
N016,Tech News,Tech Paper Summarizer,$14/mo,2 weeks,API Compatibility Checker,$19/mo,2.5 weeks,Tech Debt Visualizer,$24/mo,3 weeks
N017,Sports,Fantasy Sports Optimizer,$12/mo,2 weeks,Sports Betting Trend Tracker,$13/mo,2 weeks,Local Sports Organizer,$21/mo,3 weeks
N018,News,Personalized News Briefing,$10/mo,2 weeks,Fact-Check Verification Tool,$14/mo,2 weeks,News Impact Tracker,$11/mo,1.5 weeks
N019,ASMR/Sound,Personalized ASMR Generator,$12/mo,3 weeks,Focus Sound Environment,$9/mo,2 weeks,ASMR Trigger Tester,$7/mo,1 week
