week,day,date,platform,content_type,title,description,status,notes
1,Monday,2026-02-03,TikTok,Video,The morning scroll problem,Script 1 from TikTok scripts,pending,Problem/solution hook
1,Monday,2026-02-03,Twitter,Post,Screen time vs prayer time stat,Post 1 from Twitter posts,pending,Morning post 7am
1,Monday,2026-02-03,Twitter,Post,Poll what's first app,Post 11 engagement hook,pending,Evening post 6pm
1,Tuesday,2026-02-03,TikTok,Video,The accountability hack,Script 2 from TikTok scripts,pending,Pastor quote hook
1,Tuesday,2026-02-04,Twitter,Thread,Science of morning habits,Thread 1 full thread,pending,Post at 7am
1,Tuesday,2026-02-04,Instagram,Story,Streak screenshot,Show current prayer streak,pending,User engagement
1,Wednesday,2026-02-05,TikTok,Video,Screen time confession,Script 3 from TikTok scripts,pending,12 hours Sunday hook
1,Wednesday,2026-02-05,Twitter,Post,Order of morning matters,Post 2 tip,pending,Morning post
1,Wednesday,2026-02-05,Twitter,Post,Be honest question,Post 12 engagement,pending,Evening post
1,Thursday,2026-02-06,TikTok,Video,The comparison trap,Script 4 from TikTok scripts,pending,Social media doubt hook
1,Thursday,2026-02-06,Twitter,Thread,Why app limits don't work,Thread 2 full thread,pending,Post at 7am
1,Thursday,2026-02-06,Instagram,Reel,App demo,Show locking and unlocking flow,pending,Screen recording
1,Friday,2026-02-07,TikTok,Video,The 5am problem,Script 5 from TikTok scripts,pending,Wake up to pray hook
1,Friday,2026-02-07,Twitter,Post,3 things that changed,Post 4 results tip,pending,Morning post
1,Friday,2026-02-07,Twitter,Post,Controversial take phones,Post 13 engagement,pending,Evening post
1,Saturday,2026-02-08,TikTok,Video,Church youth group story,Script 6 from TikTok scripts,pending,Youth engagement angle
1,Saturday,2026-02-08,Instagram,Story,User testimonial,Share user quote,pending,Social proof
1,Sunday,2026-02-09,Twitter,Post,Sunday accountability,Post 20 engagement,pending,Sunday specific
2,Monday,2026-02-10,TikTok,Video,The dopamine fast,Script 7 from TikTok scripts,pending,Brain science hook
2,Monday,2026-02-10,Twitter,Post,Phone engineers design,Post 5 tip,pending,Morning post
2,Monday,2026-02-10,Twitter,Post,Poll screen time,Post 14 engagement,pending,Evening post
2,Tuesday,2026-02-11,TikTok,Video,Spouse accountability,Script 8 from TikTok scripts,pending,Marriage angle
2,Tuesday,2026-02-11,Twitter,Thread,90-day prayer streak,Thread 3 personal story,pending,Post at 7am
2,Tuesday,2026-02-11,Instagram,Carousel,How it works,3-step visual guide,pending,Educational
2,Wednesday,2026-02-12,TikTok,Video,The Sunday reset,Script 9 from TikTok scripts,pending,Sabbath mode feature
2,Wednesday,2026-02-12,Twitter,Post,Asked 50 Christians,Post 6 research tip,pending,Morning post
2,Wednesday,2026-02-12,Twitter,Post,Show screen time,Post 16 engagement,pending,Evening post
2,Thursday,2026-02-13,TikTok,Video,The anxiety solution,Script 10 from TikTok scripts,pending,Therapist hook
2,Thursday,2026-02-13,Twitter,Thread,Phone addiction spiritual,Thread 4 deep topic,pending,Post at 7am
2,Thursday,2026-02-13,Instagram,Reel,Before/after morning,Transformation content,pending,Testimonial style
2,Friday,2026-02-14,TikTok,Video,Repurpose script 1,Re-edit with new hook,pending,Test different hook
2,Friday,2026-02-14,Twitter,Post,Hot take enemy,Post 7 controversial,pending,Morning post
2,Friday,2026-02-14,Twitter,Post,Raise your hand,Post 17 engagement,pending,Evening post
2,Saturday,2026-02-15,Instagram,Story,Weekend devotional,Share what reading,pending,Community building
2,Sunday,2026-02-16,Twitter,Post,Week recap,Summary of week content,pending,Engagement
3,Monday,2026-02-17,TikTok,Video,New script variation,Test new hook angle,pending,A/B test
3,Monday,2026-02-17,Twitter,Post,Average checks per day,Post 8 stat,pending,Morning post
3,Tuesday,2026-02-18,Twitter,Thread,Family prayer habits,Thread 5 family angle,pending,Post at 7am
3,Wednesday,2026-02-19,TikTok,Video,User testimonial,Film real user story,pending,Social proof
3,Thursday,2026-02-20,Twitter,Post,Accountability system,Post 9 tip,pending,Morning post
3,Friday,2026-02-21,TikTok,Video,Top performing repurpose,Re-edit best performer,pending,Double down winner
4,Monday,2026-02-24,Email,Launch email 1,Announcement,7 days out,pending,Pre-launch sequence
4,Wednesday,2026-02-26,Email,Launch email 2,The story,5 days out,pending,Pre-launch sequence
4,Friday,2026-02-28,Email,Launch email 3,Social proof,3 days out,pending,Pre-launch sequence
4,Monday,2026-03-03,Email,Launch email 4,Launch day,Launch,pending,Launch sequence
4,Wednesday,2026-03-05,Email,Launch email 5,Last call,Discount ends,pending,Launch sequence
