alpha_id,source,source_url,category,tactic,roi_potential,priority,status,applicable_methods,applicable_niches,synergy_score,reviewer_notes,quality_issues,engagement_authenticity,earnings_verified,extracted_method,compliance_notes,date_added
ALPHA_NAVAL_001,@naval (Twitter WebSearch),https://x.com/naval,MONETIZATION,"Angel investing philosophy: Filter by people first then market then timing. Spread bets only in rooms where smartest people pay attention. Uber investment returned many multiples of entire portfolio. Net worth ~$120M verified. AngelList co-founder 138 investments.",HIGHEST,IMMEDIATE,PENDING_REVIEW,"MM001,MM004",ALL,92,Uber single investment thesis: one outsized winner pays for all losers. People > market > timing filter.,,AUTHENTIC,TRUE,Portfolio approach: spread bets + smart room filter,,2026-02-03
ALPHA_NAVAL_002,@naval (Twitter WebSearch),https://venturehacks.com/,GROWTH_HACK,"How to Get Rich tweetstorm became podcast. Goal: timeless material not sell ads. Leverage + specific knowledge + accountability = wealth creation formula. Build systems not trade time for money.",HIGH,SOON,PENDING_REVIEW,GENERAL_TREND,ALL,88,Wealth creation formula applicable to all PRINTMAXX methods. Systems > time trading.,,AUTHENTIC,N/A,Specific knowledge + leverage + accountability formula,,2026-02-03
ALPHA_BALAJIS_001,@balajis (Twitter WebSearch),https://balajis.com/,PLATFORM_ARBITRAGE,"Network State concept gaining momentum: Billions of dollars + millions of followers + thousands of attendees + half a dozen governments. Oct 2025: One idea whose time has come. Digital-first governance emerging.",MEDIUM,BACKLOG,PENDING_REVIEW,NEW_METHOD_CANDIDATE,ALL,78,Long-term trend: digital-first governance. May affect regulatory landscape.,,AUTHENTIC,N/A,Parallel governance structures emerging,,2026-02-03
ALPHA_BALAJIS_002,@balajis (Twitter WebSearch),https://www.svb.com/industry-insights/fintech/2026-crypto-outlook/,ALGO_TRADING,"Stablecoin transaction volume: $22.8T (2024) to $47.6T (2025) = 109% YoY growth. DeFi TVL $150-176B late 2025 projected to $200B+ early 2026. Institutional DeFi participation driving growth.",HIGHEST,IMMEDIATE,PENDING_REVIEW,MM_ALGO_TRADING,ALL,90,Stablecoin rails becoming default for cross-border. Institutional DeFi = real opportunity.,,AUTHENTIC,TRUE,Stablecoin rails 2x YoY - DeFi TVL $200B+ projected,,2026-02-03
ALPHA_ELON_001,@elonmusk (Twitter/X WebSearch),https://www.cnbc.com/2026/02/02/elon-musk-spacex-xai-ipo.html,PLATFORM_ARBITRAGE,"SpaceX acquiring xAI Feb 2026 ahead of potential IPO. Combining rocket venture + AI chatbot Grok + Starlink + X. Space-based AI data centers: within 2-3 years lowest cost AI compute will be in space. FCC 1M satellite authorization request.",HIGHEST,IMMEDIATE,PENDING_REVIEW,NEW_METHOD_CANDIDATE,ALL,94,Space-based AI compute = paradigm shift if viable. SpaceX IPO mid-2026 at $1T+ expected.,,AUTHENTIC,TRUE,Space-based AI compute 2-3 year timeline,,2026-02-03
ALPHA_ELON_002,@elonmusk (Twitter/X WebSearch),https://techcrunch.com/2026/01/29/elon-musk-spacex-tesla-xai-merger-talks-ipo-reuters/,MONETIZATION,"xAI acquired X (Twitter) 2025 for $33B - bailing investors from $44B to ~$9B. Tesla $2B into xAI. Tesla pivoting to self-driving taxis + Optimus V3 humanoid robots. Musk net worth $768B (Forbes).",HIGH,SOON,PENDING_REVIEW,GENERAL_TREND,ALL,85,Tesla pivot signals autonomous systems opportunity. AI + robotics + EV integration.,,AUTHENTIC,TRUE,xAI acquired X for $33B - Tesla $2B investment,,2026-02-03
ALPHA_SAMA_001,@sama (Twitter WebSearch),https://www.theneuron.ai/explainer-articles/openais-vision-for-2026-sam-altman-lays-out-the-roadmap,GROWTH_HACK,"Sam Altman: Best fucking time ever in history of technology to start a company. Product overhang: significant gap between model capabilities and applications built. Cost-performance ratio falling. Small team leverage increasing.",HIGHEST,IMMEDIATE,PENDING_REVIEW,ALL_METHODS,ALL,96,Altman explicitly says best time to build. Product overhang = massive opportunity for builders.,,AUTHENTIC,N/A,Product overhang = model capabilities >> applications built,,2026-02-03
ALPHA_SAMA_002,@sama (Twitter WebSearch),https://time.com/7205596/sam-altman-superintelligence-agi/,AI_AUTOMATION,"AGI confidence: We are now confident we know how to build AGI. 2025: first AI agents join workforce materially change company output. Enterprise API grew faster than ChatGPT. GPT-5.2 crossed threshold for mathematicians.",HIGH,SOON,PENDING_REVIEW,AI_AUTOMATION,ALL,88,AI agents joining workforce = immediate opportunity. Enterprise API growth signals B2B focus.,,AUTHENTIC,N/A,AI agents joining workforce 2025 - Enterprise API > ChatGPT,,2026-02-03
ALPHA_PATRICKC_001,@patrickc (Twitter WebSearch),https://www.coindesk.com/business/2025/09/06/stripe-ceo-patrick-collison-explains-why-businesses-are-turning-to-stablecoins/,MONETIZATION,"Stripe CEO: Stablecoins winning because easier faster better than status quo (not speculation). SpaceX DolarApp examples. GENIUS Act (US) + MiCA (EU) = explicit regulation. Stripe + Paradigm launched Tempo blockchain Sept 2025.",HIGHEST,IMMEDIATE,PENDING_REVIEW,"MM004,ALGO_TRADING",ALL,93,Stripe CEO confirming stablecoin utility over speculation. Real-world payment use cases.,,AUTHENTIC,TRUE,Stablecoins = faster cheaper than traditional - GENIUS Act clarity,,2026-02-03
ALPHA_PATRICKC_002,@patrickc (Twitter WebSearch),https://growth.eladgil.com/book/chapter-5-organizational-structure-and-hypergrowth/,GROWTH_HACK,"Patrick Collison culture advice: Main mistakes = too precious too apologetic not dynamic. International expansion needs right site lead + seed crystals (2-4 people). Beautiful products signal creator cared = success.",HIGH,SOON,PENDING_REVIEW,GENERAL_TREND,ALL,85,Stripe culture: dynamic not static. Seed crystal hiring (2-4 people). Beauty signals care.,,AUTHENTIC,N/A,Culture = dynamic - Seed crystal hiring - Beauty = success,,2026-02-03
ALPHA_BENEDICT_001,@benedictevans (aggregated WebSearch),https://www.technologyreview.com/2026/01/05/1130662/whats-next-for-ai-in-2026/,AI_AUTOMATION,"2026 AI trends: MCP (Model Context Protocol) becoming standard - Anthropic USB-C for AI. OpenAI + Microsoft embraced. Linux Foundation donation. Multi-agent production. Efficient models alongside frontier models.",HIGHEST,IMMEDIATE,PENDING_REVIEW,"AI_AUTOMATION,TOOL_ALPHA",ALL,94,MCP standardization = integration opportunity. Multi-agent production = ralph loop validation.,,AUTHENTIC,N/A,MCP becoming standard - Multi-agent production 2026,,2026-02-03
ALPHA_BENEDICT_002,@benedictevans (aggregated WebSearch),https://techcrunch.com/2026/01/02/in-2026-ai-will-move-from-hype-to-pragmatism/,PLATFORM_ARBITRAGE,"2026: AI hype to pragmatism. Focus shifting to making AI usable. World models big year: LeCun left Meta for AMI Labs. Fei-Fei Li World Labs launched Marble. Edge AI: Apple Siri revamp.",HIGH,SOON,PENDING_REVIEW,GENERAL_TREND,ALL,86,Hype to pragmatism transition. World models emerging. Edge AI advancing.,,AUTHENTIC,N/A,Pragmatism > hype 2026 - World models commercializing,,2026-02-03
ALPHA_KARPATHY_001,@karpathy (Twitter WebSearch),https://karpathy.bearblog.dev/year-in-review-2025/,AI_AUTOMATION,"Karpathy 2025 LLM paradigm shifts: 1) RLVR - reasoning traces via objective feedback 2) Vibe coding crossed - describe in English model builds 3) LLM Apps (Cursor) = orchestrated vertical systems. Democratizing software.",HIGHEST,IMMEDIATE,PENDING_REVIEW,"AI_AUTOMATION,APP_FACTORY",ALL,97,Karpathy paradigm shifts: RLVR + vibe coding + vertical LLM apps. All directly applicable.,,AUTHENTIC,N/A,RLVR = reasoning traces - Vibe coding = democratized software,,2026-02-03
ALPHA_KARPATHY_002,@karpathy (Twitter WebSearch),https://x.com/karpathy/status/2002118205729562949,GROWTH_HACK,"Karpathy: LLMs dont work yet - lack intelligence not multimodal cant use computers struggle with memory. BUT: less than 10% of paradigm potential exploited. 2026 = efficiency paradigms not compute arms race.",HIGH,SOON,PENDING_REVIEW,AI_AUTOMATION,ALL,88,Honest: LLMs limited but 90% potential untapped. Efficiency > compute 2026.,,AUTHENTIC,N/A,LLMs limited but 90% potential untapped,,2026-02-03
