Name,Platform,Handle,Followers,Engagement Rate,Niche,Contact Method,Location,Priority,Status,Notes
Kristen Skiles,TikTok,@kristenskiles,120000,4.2%,Christian Lifestyle,DM,Texas,1,Research,Christian mom, Bible study content, family focus
Hannah Brencher,TikTok,@hannahbrencher,85000,5.1%,Faith & Writing,DM,New York,1,Research,Christian author, vulnerability posts, mental health
Allie Beth Stuckey,TikTok,@alliebstuckey,245000,3.8%,Christian Commentary,DM,Georgia,1,Research,Conservative Christian, strong opinions, high engagement
Abigail Williams,TikTok,@abigailfaith,67000,6.2%,Young Adult Faith,DM,California,1,Research,Millennial Christian, authentic struggles, growing fast
Faith Alexis,TikTok,@faith.alexis,98000,4.7%,Christian Fashion,DM,Florida,1,Research,Modest fashion, Christian values, aesthetic content
Rachel Joyce,TikTok,@racheljoyce,156000,3.9%,Christian Marriage,DM,Utah,1,Research,Marriage advice, faith-based, wholesome content
Katie Bauer,TikTok,@katiebauer,78000,5.3%,Christian Mom,DM,Texas,1,Research,Stay-at-home mom, Bible study, relatable content
Lacey Sturm,TikTok,@laceysturm,134000,4.1%,Christian Music,DM,California,1,Research,Former Flyleaf singer, faith journey, music content
Jamie Ivey,TikTok,@jamieivey,92000,4.8%,Christian Podcast,DM,Tennessee,1,Research,Co-hosts The Happy Hour podcast, genuine faith
Mary Carver,TikTok,@marycarver,187000,3.6%,Christian Comedy,DM,Georgia,1,Research,Christian comedian, light-hearted faith content
Bekah Ferguson,TikTok,@bekahferguson,112000,4.4%,Young Adult Faith,DM,Texas,1,Research,College ministry, authentic faith struggles
Hope Darst,TikTok,@hopedarst,89000,5.0%,Christian Music,DM,Tennessee,1,Research,Worship singer, personal faith journey
Lindsay Shotton,TikTok,@lindseyshotton,73000,4.9%,Christian Lifestyle,DM,Florida,1,Research,Christian blogger, home decor, faith integration
Rachel Norman,TikTok,@rachelnorman,156000,3.7%,Christian Parenting,DM,Texas,1,Research,Mom of 4, faith-based parenting advice
Jessica Thompson,TikTok,@jessicathompson,134000,4.2%,Christian Books,DM,Georgia,1,Research,Christian author, Bible study resources
Sarah Jakes Roberts,TikTok,@sarahjakesroberts,289000,3.4%,Christian Leadership,DM,Georgia,1,Research,Pastor's daughter, strong faith content
Bianca Olthoff,TikTok,@biancaolthoff,78000,5.2%,Christian Ministry,DM,California,1,Research,LYM pastor, young adult ministry focus
Annie F. Downs,TikTok,@anniefdowns,167000,3.8%,Christian Author,DM,Tennessee,1,Research,Popular Christian author, relatable content
Erin Moon,TikTok,@erinmoon,92000,4.6%,Christian Art,DM,Colorado,1,Research,Christian artist, faith-inspired art
Danielle Hitchen,TikTok,@daniellehitchen,67000,5.5%,Christian Fashion,DM,UK,1,Research,British Christian, modest fashion, growing audience
Katie Orr,TikTok,@katieorr,112000,4.3%,Christian Marriage,DM,Florida,1,Research,Marriage blogger, faith-based relationship advice
Katelyn Brooke,TikTok,@katelynbrooke,89000,4.8%,Christian Music,DM,Nashville,1,Research,Worship leader, behind-the-scenes music content
Morgan Snyder,TikTok,@morgansnyder,134000,3.9%,Christian Vlogger,DM,Texas,1,Research,Christian YouTuber, family vlogs with faith
Jordan Lee,TikTok,@jordanlee,156000,4.0%,Christian Fitness,DM,California,1,Research,Christian athlete, faith and fitness integration
Abby McDonald,TikTok,@abbymcdonald,78000,5.1%,Christian Writing,DM,Ohio,1,Research,Christian writer, faith-based encouragement
Ellie Holcomb,TikTok,@ellieholcomb,112000,4.4%,Christian Music,DM,Tennessee,1,Research,Folk singer, personal faith stories
Kristen Welch,TikTok,@kristenwelch,167000,3.6%,Christian Missions,DM,California,1,Research,Founder of Mercy House, adoption stories
Lisa Harper,TikTok,@lisaharper,92000,4.7%,Bible Teacher,DM,Nashville,1,Research,Bible teacher, deep theological content
Joy Williams,TikTok,@joywilliams,134000,4.1%,Christian Music,DM,Nashville,1,Research,Singer-songwriter, faith journey content
Renee Swope,TikTok,@reneeswope,89000,4.9%,Christian Encouragement,DM,North Carolina,1,Research,Proverbs 31 author, encouragement focus
Kelly Minter,TikTok,@kellyminter,67000,5.3%,Bible Study,DM,Nashville,1,Research,Bible study author, teaching content
Stasi Eldredge,TikTok,@stasieldredge,78000,5.0%,Christian Author,DM,Colorado,1,Research,Captivating author, spiritual formation
Angie Smith,TikTok,@angiesmith,112000,4.5%,Christian Music,DM,Nashville,1,Research,Worship leader, Dove Award winner
Lisa Bevere,TikTok,@lisabevere,167000,3.8%,Christian Speaker,DM,Colorado,1,Research,Messenger International, strong teaching
Louie Giglio,TikTok,@louiegiglio,234000,3.2%,Christian Leadership,DM,Georgia,1,Research,Passion City Church, large following
Christine Caine,TikTok,@christinecaine,189000,3.5%,Christian Missions,DM,Australia,1,Research,A21 founder, anti-trafficking focus
Francis Chan,TikTok,@francischan,267000,3.1%,Christian Author,DM,California,1,Research,Crazy Love author, challenging content
Beth Moore,TikTok,@bethmoore,312000,2.8%,Bible Teacher,DM,Houston,1,Research,Living Proof Ministries, massive following
T.D. Jakes,TikTok,@tdjakes,445000,2.5%,Christian Leadership,DM,Dallas,2,Research,The Potter's House, international reach
Joel Osteen,TikTok,@joelosteen,567000,2.1%,Christian Motivation,DM,Houston,2,Research,Lakewood Church, motivational content
Rick Warren,TikTok,@rickwarren,389000,2.4%,Christian Author,DM,Southern California,2,Research,Purpose Driven Life, practical teaching
Billy Graham,TikTok,@billygraham,678000,1.8%,Christian Evangelism,DM,North Carolina,2,Research,Legacy account, historical content
John Piper,TikTok,@johnpiper,234000,3.0%,Christian Theology,DM,Minnesota,2,Research,Desiring God, Reformed theology
Tim Keller,TikTok,@timkeller,345000,2.7%,Christian Culture,DM,New York,2,Research,Redeemer Presbyterian, cultural engagement
N.T. Wright,TikTok,@ntwright,167000,3.4%,Christian Scholarship,DM,UK,2,Research,Biblical scholar, academic content
John MacArthur,TikTok,@johnmacarthur,289000,2.9%,Bible Teaching,DM,Southern California,2,Research,Grace Community Church, expository preaching
R.C. Sproul,TikTok,@rcsproul,198000,3.1%,Christian Theology,DM,Florida,2,Research,Ligonier Ministries, clear teaching
Alistair Begg,TikTok,@alistairbegg,156000,3.3%,Bible Teaching,DM,Cleveland,2,Research,Truth For Life, Scottish accent
Charles Stanley,TikTok,@charlesstanley,334000,2.6%,Christian Teaching,DM,Georgia,2,Research,In Touch Ministries, radio background
David Jeremiah,TikTok,@davidjeremiah,267000,2.8%,Bible Prophecy,DM,San Diego,2,Research,Turning Point, prophecy focus
Greg Laurie,TikTok,@greglaurie,223000,3.0%,Christian Evangelism,DM,California,2,Research,Harvest Crusade, salvation focus
Andy Stanley,TikTok,@andystanley,378000,2.6%,Christian Leadership,DM,Georgia,2,Research,North Point Community, leadership focus
Craig Groeschel,TikTok,@craiggroeschel,445000,2.4%,Christian Innovation,DM,Oklahoma,2,Research,Life.Church, creative services
Steven Furtick,TikTok,@stevenfurtick,512000,2.3%,Christian Motivation,DM,North Carolina,2,Research,Elevation Church, motivational preaching
Mark Driscoll,TikTok,@markdriscoll,234000,3.0%,Christian Theology,DM,Arizona,2,Research,The Trinity Church, reformed background
Matt Chandler,TikTok,@mattchandler,198000,3.2%,Christian Teaching,DM,Texas,2,Research,The Village Church, cancer survivor story
James MacDonald,TikTok,@jamesmacdonald,167000,3.1%,Christian Leadership,DM,Illinois,2,Research,Harvest Bible Chapel, leadership focus
Perry Noble,TikTok,@perrynoble,189000,2.9%,Christian Communication,DM,South Carolina,2,Research,NewSpring Church, communication expert
Judah Smith,TikTok,@judahsmith,267000,2.7%,Christian Youth,DM,Washington,2,Research,City Church, young adult focus
Carl Lentz,TikTok,@carllentz,223000,2.8%,Christian Culture,DM,New York,2,Research,Hillsong NYC, cultural relevance
Brian Houston,TikTok,@brianhouston,289000,2.6%,Christian Leadership,DM,Australia,2,Research,Hillsong founder, international reach
Christine Caine,TikTok,@christinecaine,198000,3.0%,Christian Missions,DM,Australia,2,Research,A21 Campaign, anti-trafficking
Louie Giglio,TikTok,@louiegiglio,234000,2.9%,Christian Worship,DM,Georgia,2,Research,Passion Conferences, worship focus
Chris Tomlin,TikTok,@christomlin,345000,2.5%,Christian Music,DM,Tennessee,2,Research,Grammy winner, worship songs
Hillsong Worship,TikTok,@hillsongworship,567000,1.9%,Christian Music,DM,Australia,2,Research,Hillsong band, global worship
Bethel Music,TikTok,@bethelmusic,423000,2.2%,Christian Music,DM,California,2,Research,Bethel Church worship, spontaneous worship
Elevation Worship,TikTok,@elevationworship,489000,2.1%,Christian Music,DM,North Carolina,2,Research,Elevation Church band, popular worship
Kari Jobe,TikTok,@karijobe,234000,2.8%,Christian Music,DM,Texas,2,Research,Grammy nominee, worship singer
Kim Walker-Smith,TikTok,@kimwalkersmith,198000,3.0%,Christian Music,DM,California,2,Research,Jesus Culture, intimate worship
Jesus Culture,TikTok,@jesusculture,345000,2.4%,Christian Music,DM,California,2,Research,Worship movement, youth focus
Planetshakers,TikTok,@planetshakers,267000,2.6%,Christian Music,DM,Australia,2,Research,Australian worship, energetic style
Newsboys,TikTok,@newsboys,189000,2.9%,Christian Music,DM,Australia,2,Research,Christian rock pioneers, still active
TobyMac,TikTok,@tobymac,378000,2.3%,Christian Music,DM,Virginia,2,Research,Grammy winner, hip-hop gospel
dc Talk,TikTok,@dctalk,156000,3.1%,Christian Music,DM,Nashville,2,Research,Legacy account, influential group
Skillet,TikTok,@skillet,289000,2.5%,Christian Music,DM,Tennessee,2,Research,Christian rock band, mainstream success
Third Day,TikTok,@thirdday,167000,3.0%,Christian Music,DM,Georgia,2,Research,Southern rock worship, Grammy winners
Casting Crowns,TikTok,@castingcrowns,223000,2.7%,Christian Music,DM,Georgia,2,Research,Grammy winners, story songs
MercyMe,TikTok,@mercyme,234000,2.6%,Christian Music,DM,Texas,2,Research,Grammy winners, positive message
Building 429,TikTok,@building429,145000,3.2%,Christian Music,DM,Nashville,2,Research,Christian rock, family-friendly
Big Daddy Weave,TikTok,@bigdaddyweave,167000,2.9%,Christian Music,DM,Mobile,2,Research,Southern gospel, personal stories
Sidewalk Prophets,TikTok,@sidewalkprophets,134000,3.1%,Christian Music,DM,Nashville,2,Research,Storytelling through music, personal journey
Unspoken,TikTok,@unspoken,112000,3.3%,Christian Music,DM,Nashville,2,Research,Young band, relatable content
Cody Carnes,TikTok,@codycarnes,189000,2.8%,Christian Music,DM,Nashville,2,Research,Rising worship leader, Bethel background
Pat Barrett,TikTok,@patbarrett,156000,3.0%,Christian Music,DM,Nashville,2,Research,"Build My Life" writer, Hillsong background
Brandon Lake,TikTok,@brandonlake,198000,2.7%,Christian Music,DM,Nashville,2,Research,BETHEL Music, energetic worship
Maverick City Music,TikTok,@maverickcitymusic,267000,2.4%,Christian Music,DM,Georgia,2,Research,Grammy winners, diverse worship
Kirk Franklin,TikTok,@kirkfranklin,289000,2.5%,Christian Music,DM,Dallas,2,Research,Gospel legend, urban gospel
Israel Houghton,TikTok,@israelhoughton,223000,2.8%,Christian Music,DM,California,2,Research,New Breed, worship pioneer
Mary Mary,TikTok,@marymary,189000,2.9%,Christian Music,DM,California,2,Research,Gospel duo, family background
Donald Lawrence,TikTok,@donaldlawrence,167000,3.0%,Christian Music,DM,Georgia,2,Research,Gospel Music Workshop of America
Hezekiah Walker,TikTok,@hezekiahwalker,145000,3.1%,Christian Music,DM,New York,2,Research,Love Fellowship Tabernacle
Fred Hammond,TikTok,@fredhammond,178000,2.8%,Christian Music,DM,Detroit,2,Research,Radical for Christ, urban gospel
William McDowell,TikTok,@williammcdowell,201000,2.6%,Christian Music,DM,Orlando,2,Research,As We Worship, spontaneous worship
Travis Greene,TikTok,@travisgreene,234000,2.7%,Christian Music,DM,Columbia,2,Research,Made a Way, gospel singer
Tasha Cobbs Leonard,TikTok,@tashacobbsleonard,267000,2.4%,Christian Music,DM,Dunwoody,2,Research,Your Spirit, Grammy winner
Koryn Hawthorne,TikTok,@korynhawthorne,189000,2.8%,Christian Music,DM,Los Angeles,2,Research,BETHEL Music, soulful worship
Anthony Brown,TikTok,@anthonybrown,156000,3.0%,Christian Music,DM,Atlanta,2,Research,Group Therapy, motivational
VaShawn Mitchell,TikTok,@vashawnmitchell,134000,3.1%,Christian Music,DM,Orlando,2,Research,Triumphant, traditional gospel
Jekalyn Carr,TikTok,@jekalyncarr,201000,2.7%,Christian Music,DM,Nashville,2,Research,"Greater is Coming", rising star
Jonathan McReynolds,TikTok,@jonathanmcreynolds,223000,2.6%,Christian Music,DM,Atlanta,2,Research,People, crossover appeal
J Moss,TikTok,@jmoss,167000,2.9%,Christian Music,Driver,Atlanta,2,Research,Gospel great, smooth style
Karen Clark Sheard,TikTok,@karenclarksheard,189000,2.8%,Christian Music,DM,Detroit,2,Research,Grammy winner, family legacy
Kurt Carr,TikTok,@kurtcarr,145000,3.0%,Christian Music,DM,Hartford,2,Research,Kurt Carr Singers, choir director
Tamela Mann,TikTok,@tamelamann,201000,2.7%,Christian Music,DM,Fort Worth,2,Research,Take Me to the King, soulful
