app,keyword,date,rank,change,notes
prayerlock,prayer app,2026-01-21,0,0,baseline tracking start
prayerlock,christian app,2026-01-21,0,0,baseline tracking start
prayerlock,phone addiction christian,2026-01-21,0,0,high priority target
prayerlock,faith app,2026-01-21,0,0,baseline tracking start
prayerlock,prayer reminder,2026-01-21,0,0,baseline tracking start
prayerlock,christian phone blocker,2026-01-21,0,0,blue ocean target
prayerlock,screen time faith,2026-01-21,0,0,blue ocean target
prayerlock,prayer before phone,2026-01-21,0,0,blue ocean target
prayerlock,daily prayer,2026-01-21,0,0,baseline tracking start
prayerlock,morning prayer app,2026-01-21,0,0,baseline tracking start
walktounlock,step counter app,2026-01-21,0,0,baseline tracking start
walktounlock,walking app,2026-01-21,0,0,baseline tracking start
walktounlock,phone addiction app,2026-01-21,0,0,high priority target
walktounlock,screen time lock,2026-01-21,0,0,baseline tracking start
walktounlock,walk to unlock,2026-01-21,0,0,blue ocean target
walktounlock,steps unlock phone,2026-01-21,0,0,blue ocean target
walktounlock,fitness phone lock,2026-01-21,0,0,blue ocean target
walktounlock,phone blocker fitness,2026-01-21,0,0,blue ocean target
walktounlock,step tracker,2026-01-21,0,0,baseline tracking start
walktounlock,fitness motivation,2026-01-21,0,0,baseline tracking start
promptvault,chatgpt prompts,2026-01-21,0,0,baseline tracking start
promptvault,ai prompts,2026-01-21,0,0,baseline tracking start
promptvault,prompt library,2026-01-21,0,0,high priority target
promptvault,prompt vault,2026-01-21,0,0,brand keyword
promptvault,ai prompt library,2026-01-21,0,0,high priority target
promptvault,prompt storage,2026-01-21,0,0,blue ocean target
promptvault,prompt organizer,2026-01-21,0,0,blue ocean target
promptvault,chatgpt templates,2026-01-21,0,0,baseline tracking start
promptvault,claude prompts,2026-01-21,0,0,high priority target
promptvault,prompt manager,2026-01-21,0,0,blue ocean target
studylock,study app,2026-01-21,0,0,baseline tracking start
studylock,focus app for studying,2026-01-21,0,0,high priority target
studylock,study timer,2026-01-21,0,0,baseline tracking start
studylock,phone blocker study,2026-01-21,0,0,blue ocean target
studylock,study lock,2026-01-21,0,0,brand keyword
studylock,study mode app,2026-01-21,0,0,high priority target
studylock,student focus app,2026-01-21,0,0,blue ocean target
studylock,distraction blocker study,2026-01-21,0,0,high priority target
studylock,pomodoro study,2026-01-21,0,0,baseline tracking start
studylock,exam study app,2026-01-21,0,0,seasonal target
dailydevotion,daily devotional,2026-01-21,0,0,baseline tracking start
dailydevotion,daily devotional app,2026-01-21,0,0,high priority target
dailydevotion,bible devotional,2026-01-21,0,0,baseline tracking start
dailydevotion,morning devotional,2026-01-21,0,0,high priority target
dailydevotion,quick devotional,2026-01-21,0,0,blue ocean target
dailydevotion,one minute devotional,2026-01-21,0,0,blue ocean target
dailydevotion,devotional notification,2026-01-21,0,0,blue ocean target
dailydevotion,daily scripture,2026-01-21,0,0,baseline tracking start
dailydevotion,verse of the day,2026-01-21,0,0,baseline tracking start
dailydevotion,christian daily app,2026-01-21,0,0,high priority target
femfit,women fitness app,2026-01-21,0,0,baseline tracking start
femfit,workout for women,2026-01-21,0,0,baseline tracking start
femfit,female fitness,2026-01-21,0,0,high priority target
femfit,women workout app,2026-01-21,0,0,high priority target
femfit,fitness app women,2026-01-21,0,0,high priority target
femfit,home workout women,2026-01-21,0,0,baseline tracking start
femfit,fitness for her,2026-01-21,0,0,blue ocean target
femfit,female exercise app,2026-01-21,0,0,blue ocean target
femfit,women strength app,2026-01-21,0,0,blue ocean target
femfit,fitness for busy women,2026-01-21,0,0,blue ocean target
dailyanchor,morning routine app,2026-01-21,0,0,high priority target
dailyanchor,daily habit app,2026-01-21,0,0,baseline tracking start
dailyanchor,morning habits,2026-01-21,0,0,high priority target
dailyanchor,daily anchor,2026-01-21,0,0,brand keyword
dailyanchor,routine tracker,2026-01-21,0,0,baseline tracking start
dailyanchor,morning ritual app,2026-01-21,0,0,blue ocean target
dailyanchor,start day right,2026-01-21,0,0,blue ocean target
dailyanchor,morning checklist app,2026-01-21,0,0,blue ocean target
dailyanchor,habit stacking app,2026-01-21,0,0,blue ocean target
dailyanchor,morning productivity,2026-01-21,0,0,baseline tracking start
