keyword,search_volume,difficulty,current_rank,target_rank,priority
prayer app,18000,72,0,15,high
christian app,14500,68,0,20,high
bible prayer,12000,45,0,10,high
daily prayer,9800,52,0,12,high
phone addiction christian,4200,22,0,3,high
faith app,8500,48,0,15,high
prayer reminder,7200,38,0,8,high
morning prayer app,5600,35,0,5,high
screen time faith,1800,15,0,1,high
prayer tracker,6100,42,0,10,high
christian phone blocker,1200,12,0,1,high
devotional app,8900,55,0,20,medium
prayer journal,7500,48,0,15,medium
daily devotional,11000,62,0,25,medium
christian meditation,4800,38,0,10,medium
prayer guide,3900,32,0,8,medium
faith tracker,2200,25,0,5,medium
scripture app,9200,58,0,20,medium
bible reading tracker,5100,42,0,12,medium
prayer time app,4500,35,0,8,medium
christian focus app,1500,18,0,2,medium
spiritual discipline,2800,28,0,6,medium
prayer alarm,3200,30,0,7,medium
christian accountability,2100,22,0,4,medium
phone lock prayer,800,8,0,1,high
spiritual growth app,3600,35,0,8,medium
prayer list app,4800,40,0,10,medium
christian daily routine,1900,20,0,3,medium
prayer schedule,3100,28,0,6,medium
faith journal,4200,38,0,9,medium
christian habit tracker,1600,15,0,2,high
morning devotion,5200,45,0,12,medium
prayer warrior app,2400,25,0,5,medium
christian motivation,3800,35,0,8,medium
prayer community,2900,30,0,7,low
church app,12000,65,0,30,low
bible study app,9500,58,0,25,low
christian women prayer,3200,28,0,6,medium
men prayer app,2100,22,0,4,medium
prayer before phone,600,5,0,1,high
screen addiction help,5500,45,0,15,low
digital detox christian,900,10,0,2,high
faith first phone,500,5,0,1,high
unlock with prayer,400,3,0,1,high
spiritual phone lock,350,3,0,1,high
christian productivity,2800,28,0,6,medium
faith focus,1800,18,0,3,medium
prayer discipline,1200,12,0,2,high
daily scripture lock,300,2,0,1,high
christian screen time,1100,12,0,2,high
