alpha_id,source,source_url,category,title,description,actionable_steps,effort_level,roi_potential,risk_level,applies_to_niches,status
ALPHA900,Web Research (Multi-source),https://dicloak.com/blog-detail/can-i-operate-several-twitter-x-accounts-review-this-2026-guide,GROWTH_HACK,X/Twitter allows 10 accounts per person officially,"X explicitly allows up to 10 accounts per person. Use anti-detect browsers (GoLogin/Multilogin/DiCloak) with residential proxies to isolate fingerprints. Each account needs unique email phone IP and content. Never cross-interact between your own accounts.","1. Set up anti-detect browser ($30-100/mo) 2. Get residential proxies (SOAX $99/mo for 5GB) 3. Create unique email per account 4. Build niche-specific content calendar per account 5. Warm up each account 30-50 days before any automation 6. Never post same content or interact between accounts",MEDIUM,HIGH,MEDIUM,"Faith|Fitness|Women|Tech|Finance",PENDING_REVIEW
ALPHA901,Web Research (Whop/TikTok),https://whop.com/blog/faceless-tiktok-ideas/,CONTENT_FORMAT,Faceless TikTok accounts earning $30K-$150K/year in product reviews,"Product review faceless channels generate $30K-$150K/year. ASMR channels $25K-$100K/year. Key: TikTok Creator Rewards pays $0.40-$1.00 per 1K views for 1+ minute videos (20-30x old Creator Fund). Need 10K followers + 100K views in 30 days to qualify.","1. Pick high-revenue niche (product reviews or ASMR) 2. Use AI voiceover (ElevenLabs) + stock footage 3. Post 3-5 videos/day at 1+ minute length 4. Hit 10K followers to qualify for Creator Rewards 5. Add affiliate links once at 5K followers 6. Cross-post to YouTube Shorts for additional revenue 7. Build email list from TikTok traffic",LOW,HIGH,LOW,"Faith|Fitness|Women|Tech|Finance|Sleep",PENDING_REVIEW
ALPHA902,Web Research (TechCrunch/Fanvue),https://techcrunch.com/2025/08/12/ai-companion-apps-on-track-to-pull-in-120m-in-2025/,APP_FACTORY,AI companion app market $2.7B in 2026 - revenue per download doubled,"337 active AI companion apps generated $120M+ in 2025. Revenue per download doubled from $0.52 to $1.18. Market projected $2.7B in 2026 growing to $24.5B by 2034. 10% of apps capture 89% of revenue. Character.AI has 233M users. Subscription models $9.99-$29.99/mo.","1. Build niche companion app (faith companion / fitness coach / wellness buddy) 2. Use Anthropic or OpenAI API for conversation engine 3. Implement subscription via RevenueCat ($9.99-$19.99/mo) 4. Age-gate and add mental health disclaimers 5. Submit to App Store with proper AI disclosures 6. Market through faceless TikTok accounts 7. Cross-sell to existing app users",HIGH,HIGHEST,MEDIUM,"Faith|Fitness|Women|ADHD|Sleep",PENDING_REVIEW
ALPHA903,Web Research (Fanvue/substy.ai),https://substy.ai/blog/ai-generated-content-on-fanvue-and-onlyfans-whats-legal-whats-not-and-how-real-creators-use-ai-the-smart-way,MONETIZATION,Fanvue AI-native platform - 15% of revenue from AI creators - Emily Pellegrini $23K/mo,"Fanvue is the most AI-friendly subscription platform. 15% of platform revenue from AI creators. Top AI creator Emily Pellegrini earned $23K/mo. Must label content as AI-generated. Cannot impersonate real people. Fully supports AI personas without requiring face match to verified ID (unlike Fansly/OnlyFans).","1. Create original AI persona using Stable Diffusion/Midjourney 2. Build social presence on Instagram/X first 3. Create Fanvue account with proper AI disclosures 4. Generate consistent content with same AI model 5. Use AI chatbot for subscriber engagement 6. Price at $9.99-$19.99/mo subscription 7. Comply with TAKE IT DOWN Act (no real person likeness)",MEDIUM,HIGH,MEDIUM,"Women|Lifestyle|Fitness",PENDING_REVIEW
ALPHA904,Web Research (Mailforge/LeadLoft),https://www.mailforge.ai/blog/how-many-cold-emails-to-send-daily-per-domain,OUTBOUND,Multi-sender cold email technique - 2000 emails/day legally CAN-SPAM compliant,"CAN-SPAM has NO daily volume cap. Legal requirement is compliance not quantity. Scale to 2000 emails/day using multi-sender technique: 20+ email addresses at 100 emails each. Safe forever limit: 30-40 per address/day = always land in primary inbox. Keep spam rate under 0.1%. Warm up each domain 30+ days.","1. Register 5-10 domains ($10-15 each) 2. Set up Google Workspace or Office 365 per domain 3. Warm up each email address for 30+ days (use Instantly or Smartlead) 4. Start at 10-20 emails/day per address 5. Ramp up to 40-100/day per address over 4-6 weeks 6. Include CAN-SPAM requirements: opt-out physical address identification 7. Scale by adding more domains/addresses not more volume per address",MEDIUM,HIGH,MEDIUM,"All niches - B2B outreach",PENDING_REVIEW
ALPHA905,Web Research (Dux-Soup/Growleads),https://growleads.io/blog/linkedin-automation-ban-risk-2026-safe-use/,OUTBOUND,LinkedIn automation safe warm-up protocol reduces ban risk from 23% to 5-10%,"LinkedIn ban risk is 23% for aggressive automation. Safe warm-up protocol reduces to 5-10%: Week 1-2 manual only (25 actions/day). Week 3-4 light automation at 40% thresholds. Week 5-8 gradual scaling +5 actions/day/week. Week 9+ full capacity. Cloud-based tools 60% safer than browser extensions. Max 20-25 connection requests/day. 100/week standard. Up to 200/week with high SSI.","1. Start with manual engagement only for 2 weeks 2. Use cloud-based tool (not browser extension) - Dux-Soup or PhantomBuster 3. Week 3: Start automation at 10 connections/day 4. Increase by 5 actions/day each week 5. Never exceed 25 connection requests/day 6. Mix activities: likes + visits + comments + connections 7. Withdraw pending requests older than 2-3 weeks 8. Stop ALL automation immediately if any restriction received",LOW,HIGH,MEDIUM,"All niches - B2B outreach",PENDING_REVIEW
ALPHA906,Web Research (automationlinks.com/Apex),https://www.automationlinks.com/how-to-get-clients-on-x-twitter-by-being-a-reply-guy-proven-strategy,GROWTH_HACK,Reply guy strategy - zero risk - 10K followers in 3-6 months - client acquisition,"Reply guy strategy: engage with 20+ accounts daily in your niche for 15-30 minutes. Mix large accounts (visibility) and small accounts (reciprocity). AI tools can identify pre-viral posts to reply to before they blow up. 3-5 posts/day + 20+ replies = 10K followers in 3-6 months. Zero platform risk. Some report closing $5K-$50K deals.","1. Build target list of 50-100 niche accounts 2. Schedule 15-30 min daily for replies 3. Reply to 20+ posts per day with genuine value 4. Reference specific content in replies 5. Track profile visits and follower growth 6. Post 3-5 original tweets daily 7. Use AI to identify trending posts early 8. Convert followers to DM conversations to email list to sales",LOW,HIGH,LOW,"Faith|Fitness|Women|Tech|Finance",PENDING_REVIEW
ALPHA907,Web Research (ActiveProspect/TCPA),https://activeprospect.com/blog/tcpa-text-messages/,OUTBOUND,TCPA one-to-one consent rule effective Jan 26 2026 - SMS marketing requires individual marketer consent,"NEW RULE effective January 26 2026: SMS marketing requires one-to-one consent per marketer. Consumers must provide written consent for each individual business. Consent from one company cannot be shared with partners. Penalties: $500-$1500 PER VIOLATION. SMS has 98% open rate and 3-5x higher conversion than email. Use ONLY for opted-in leads never cold SMS.","1. Add SMS opt-in to all lead capture forms 2. Include clear disclosure: company name + message frequency + opt-out instructions 3. Get SEPARATE consent for each business entity 4. Include STOP instructions in every message 5. Only send 8AM-9PM recipient time zone 6. Scrub against Do Not Call Registry 7. Honor opt-out through ANY reasonable means 8. Keep records of all consent obtained",MEDIUM,HIGH,HIGH,"All niches",PENDING_REVIEW
ALPHA908,Web Research (First Sale Doctrine/CLOSO),https://closo.co/blogs/casestudies/retail-arbitrage-in-2026-why-i-stopped-scanning-everything-and-started-using-data,MONETIZATION,Amazon FBA prep discontinued Jan 2026 - less competition - higher margins for prepared sellers,"Amazon discontinued internal FBA Prep services January 1 2026. Casual flippers left the market. Competition actually LOWER than 2024 but barrier to entry higher. Average ROI for systematic approaches: 22%. Must self-prep or use 3PL now. Data-driven approach essential - tools like Keepa and Jungle Scout required. First Sale Doctrine protects resale rights.","1. Set up Amazon Seller account 2. Subscribe to Keepa + Jungle Scout ($50-80/mo) 3. Find 3PL prep service or set up home prep station 4. Focus on gated categories (less competition) 5. Scan clearance sections at Target Walmart using Amazon Seller app 6. List items with proper FNSKU labels 7. Track ROI per product category 8. Scale winning categories with data",MEDIUM,MEDIUM,LOW,"General ecommerce",PENDING_REVIEW
ALPHA909,Web Research (PLR/Etsy/Gumroad),https://resellready.co/blogs/news/best-digital-products-to-sell-on-etsy-gumroad-shopify,MONETIZATION,PLR digital product arbitrage - up to 100% margins - exploding in 2026,"PLR (Private Label Rights) digital products are exploding in 2026. Buy PLR bundles for $20-$100 then resell for $20-$50 per unit with 100% margins. Top categories: planners templates ebooks courses design assets. Etsy requires redesigning cover pages. Gumroad more flexible. No product creation needed - buy modify resell.","1. Source PLR bundles from resellready.co or plrtemplatesstudio ($20-$100) 2. Choose niche: fitness planners faith journals wellness templates 3. Rebrand with Canva (new covers color schemes fonts) 4. List on Etsy ($0.20/listing) + Gumroad (free) 5. Optimize Etsy SEO with niche keywords 6. Create 10-20 listings to test 7. Scale winners with promoted listings 8. Build email list for repeat sales",LOW,MEDIUM,LOW,"Faith|Fitness|Women|Students|ADHD",PENDING_REVIEW
ALPHA910,Web Research (OpenAI/Anthropic Terms),https://openai.com/policies/services-agreement/,TOOL_ALPHA,API wrapper business explicitly legal - both OpenAI and Anthropic allow it - 73% of AI startups are wrappers,"Both OpenAI and Anthropic explicitly allow building products on their APIs. Customer owns inputs and outputs. 73% of venture-funded AI startups are just API wrappers per reverse-engineering analysis. FTC has brought 12+ AI-washing cases - must be transparent about AI powering your product. Cannot train competing models with outputs.","1. Identify underserved niche vertical (faith fitness women wellness) 2. Build UI/UX layer on top of OpenAI or Anthropic API 3. Add niche-specific prompts and workflows 4. Implement subscription pricing via Stripe ($9.99-$29.99/mo) 5. Label product as Powered by [Provider] 6. Don't overstate AI capabilities (FTC enforcement) 7. Build unique features beyond raw API access 8. Monitor provider terms for changes",MEDIUM,HIGH,MEDIUM,"Faith|Fitness|Women|Tech",PENDING_REVIEW
ALPHA911,Web Research (searchlogistics/Flippa),https://www.searchlogistics.com/learn/seo/domain-flipping/,MONETIZATION,Domain flipping - 22% average ROI - expired domains with backlinks most valuable,"Professional domain flippers maintain 22% average ROI across portfolio. Expired domains with existing backlinks and domain authority most valuable. Starting capital: $10-$15 per registration. Short brandable .com domains highest value. Tools: SpamZilla for backlink data. Domain Hunter Gatherer for expired domain scanning. Sell on Flippa GoDaddy Auctions Afternic.","1. Install SpamZilla ($37/mo) for expired domain monitoring 2. Set filters: DR 20+ backlinks 50+ no spam 3. Register promising domains at $10-15 each 4. Build mini content sites on best domains (boost value) 5. List on Flippa + GoDaddy Auctions simultaneously 6. Park remainder with ad networks for passive income 7. Target 22%+ portfolio ROI 8. Focus on .com short brandable names",LOW,MEDIUM,LOW,"General",PENDING_REVIEW
ALPHA912,Web Research (hevycoach/diggitymarketing),https://hevycoach.com/best-fitness-affiliate-programs/,MONETIZATION,Supplement affiliate programs paying 40% commission with lifetime cookies,"Top supplement affiliate programs pay 40% commission with lifetime cookie duration (FanFuel/Wolfson Testogen). Average health/fitness affiliate earns $8038/month. Supplements are consumable = recurring revenue. Global wellness market $6.3 trillion. Must comply with FTC: disclose affiliate status no unsubstantiated health claims.","1. Apply to FanFuel/Wolfson (40% lifetime cookie) and Testogen (40% lifetime) 2. Apply to Onnit (15% 45-day) and Neurohacker (25%) as backup 3. Create content reviewing supplements (faceless OK) 4. Add FTC disclosures to ALL affiliate content 5. Never claim supplements cure or treat diseases 6. Focus on fitness/wellness niches with existing audience 7. Track conversions to optimize top performers 8. Build email list for supplement recommendations",LOW,HIGH,MEDIUM,"Fitness|Women|Health|Sleep",PENDING_REVIEW
ALPHA913,Web Research (creatorflow/Instagram),https://creatorflow.so/blog/instagram-api-rate-limits-explained/,GROWTH_HACK,Instagram Graph API allows 200 automated DMs/hour legally - no ban risk when API-based,"Instagram Graph API officially allows 200 automated DMs/hour to users who engaged in last 24 hours. API-based tools (ManyChat CreatorFlow LinkDM) are Meta-approved and safe. Browser bots carry permanent ban risk on second offense. Must have Business or Creator account. One automated message per user per 24-hour period from triggers.","1. Switch to Instagram Business or Creator account 2. Set up ManyChat ($15-79/mo) or CreatorFlow ($15/mo) 3. Create Story/Comment trigger automations 4. DM sequence: value first then CTA 5. Stay under 200 DMs/hour per account 6. Only message users who engaged in last 24 hours 7. Never use browser bots or Chrome extensions 8. Track open and reply rates to optimize",LOW,HIGH,LOW,"Faith|Fitness|Women|All niches",PENDING_REVIEW
