method_id,method_name,synergy_partners,synergy_type,synergy_score,cross_sell_products,shared_audience,automation_combo,notes
MM016,TIKTOK_SHOP,"CF013,AI006,MM008","YouTube Shorts + lifestyle curator + UGC sourcing",92,"TikTok Shop affiliate + organic promo + UGC content","Women/lifestyle 20-40",TRUE,"Stack: Lifestyle AI persona promotes products via Shorts → TikTok Shop affiliate links → UGC videos for top sellers → Scale winning products. Same content 3x monetization."
MM015,NEWSLETTER,"MM003,MM002,AI001","Affiliate sites + info products + expert persona",90,"Newsletter → affiliate revenue + course funnel + consulting","Self-improvers B2B 25-55",TRUE,"Stack: Expert persona builds authority → Newsletter with affiliate links → Course sale funnel → High-ticket consulting upsell. Email list = asset."
MM014,YOUTUBE_LONGFORM,"CF006,MM010,AI007","Clip channels + streamer clips + gaming persona",88,"YouTube ads + sponsorships + affiliate + clip deals","Gamers 16-30",TRUE,"Stack: Gaming AI persona hosts compilation videos → Streamer clips as content → Clip deals with streamers → Sponsorships → Affiliate links. Aggregation play."
MM013,PAID_ADS,"MM001,MM016,CF013","App factory + TikTok Shop + YouTube Shorts",90,"Paid traffic → app installs + product sales + content","Mass market 18-45",TRUE,"Stack: Run paid ads to Shorts/TikTok → Drive app installs + TikTok Shop sales → Retarget with app paywall → Multi-monetization from same traffic."
CF013_EXPAND,YOUTUBE_SHORTS,"CF006,CF010,MM016","Clip channels + sports highlights + TikTok Shop",89,"Creator fund + ads + affiliate + product sales","Sports/entertainment 16-35",TRUE,"Stack: Shorts content from clips → Creator fund revenue → Sports betting affiliates → TikTok Shop sports gear. Same audience 4x monetization."
CF012_EXPAND,STOCK_RESEARCH,"MM012,MM015,MM003","Algo trading + newsletter + affiliate sites",85,"Stock picks newsletter + course + affiliate commissions","Investors 30-55",TRUE,"Stack: Stock research content → Newsletter subscribers → Algo trading course → Brokerage affiliates → Premium signals subscription."
CF011_EXPAND,CRYPTO_NEWS,"MM012,CF003,AI001","Algo trading + news socials + expert persona",88,"Breaking news → trading signals + newsletter + course","Crypto traders 20-45",TRUE,"Stack: Crypto news on social → Build following → Newsletter + trading signals → Algo course → Premium community. News to products."
STACK001,APP_AFFILIATE_STACK,"MM001,MM003,MM002","Apps + affiliate sites + info products",94,"App downloads → affiliate commissions → course sales","Niche-specific varies",TRUE,"Stack: Build niche app (fitness/faith/ADHD) → SEO landing pages for app → Affiliate links in app → Course upsell in email. Full funnel from one niche."
STACK002,CONTENT_TO_COMMERCE,"MM006,MM016,MM008","Content farm + TikTok Shop + UGC arbitrage",91,"Content → product sales + UGC production + ads","Women lifestyle 20-40",TRUE,"Stack: Content farm builds audience → Promote TikTok Shop products → Best sellers get UGC content → Sell UGC to other brands. Content feeds commerce feeds content."
STACK003,NEWSLETTER_EMPIRE,"MM015,MM002,MM007","Newsletter + info products + cold outbound",89,"Newsletter subs → product sales + B2B outbound leads","B2B decision makers 30-55",TRUE,"Stack: Newsletter builds authority → Info product sales to subscribers → B2B outbound leveraging newsletter as social proof → Agency/consulting upsell."
STACK004,CREATOR_NETWORK,"MM010,MM008,MM005","Streamer clips + UGC arbitrage + agency services",86,"Clip revenue + UGC production + agency retainers","Brands + creators 20-40",TRUE,"Stack: Clip streamers for revenue → Build UGC creator network from clippers → Sell UGC to brands → Agency service for ongoing work. Network effects."
STACK005,INFLUENCER_PRODUCT_STACK,"MM009,MM001,MM016","AI influencer full stack + apps + TikTok Shop",95,"Influencer builds audience → app promo + product sales + sponsorships","Niche-specific varies",TRUE,"Stack: AI influencer persona (fitness/finance/lifestyle) → Promotes own app → TikTok Shop affiliate → Info product → Sponsorships. Single persona 5x monetization. HIGHEST synergy."
STACK006,NICHE_DOMINATION_PLAY,"MM001,AI001,MM002,MM007","App + expert + course + outbound",93,"App for leads → expert authority → course sales → B2B outbound","Niche-specific B2B/B2C",TRUE,"Stack: Build niche app (ADHD productivity/fitness) → AI expert persona in same niche → Course teaching method → Cold outbound to enterprises. Niche authority play."
