account,draft,source_handle,source_url,source_likes,relevance_score,original_text,status,generated_at
@voidpilled,neuroscience fact: your brain gives you the same dopamine hit from planning to do something as from doing it. consciousness isn't what you think it is.,unknown,https://x.com/bluewmist/status/2027246514511470732,2073,40,"Neuroscience fact: your brain gives you the same dopamine hit from planning to do something as from doing it. That's why you can watch 100 YouTube tutorials and feel productive. 

The fix? Stop lookin",PENDING_REVIEW,2026-03-02T21:06:35.886436
@voidpilled,"the esoteric reading of this: lithium, when used in microdoses far far below psychiatric levels, is emerging as a subtle supporter of brain health .... they're not ready for this conversation.",unknown,https://x.com/DrFrankLipman/status/2028108091535876557,506,40,"Lithium, when used in microdoses far far below psychiatric levels, is emerging as a subtle supporter of brain health and longevity.",PENDING_REVIEW,2026-03-02T21:06:35.886443
@voidpilled,"how to make get rich off of roblox:  

1/ find a brainrotted niche 
2/ ask chatgpt for enjoyable gameplay loops
3/ hi.... consciousness isn't what you think it is.",unknown,https://x.com/alexxgrowth/status/2028229291020873735,673,35,"how to make get rich off of ROBLOX:  

1/ find a brainrotted niche 
2/ ask chatgpt for enjoyable gameplay loops
3/ hire and fire a dev to do it for $10-$20 
4/ use content rewards to market it 
5/ add",PENDING_REVIEW,2026-03-02T21:06:35.886449
@voidpilled,start with the basics. consciousness isn't what you think it is.,unknown,https://x.com/bluewmist/status/2028102958328545326,3180,20,"start with the basics. 8 hours of sleep, 3l of water, meditation, 15 minutes of reading and some movement daily. make this your default routine, do not go back to your old habits. this compounds to af",PENDING_REVIEW,2026-03-02T21:06:35.886456
@voidpilled,"the esoteric reading of this: every time you avoid something uncomfortable, your brain reinforces the idea that avoidance works. they're not ready for this conversation.",unknown,https://x.com/bluewmist/status/2028284152366198840,2955,20,"Every time you avoid something uncomfortable, your brain reinforces the idea that avoidance works. It literally strengthens the pathways that make hesitation, procrastination, or excuses automatic. An",PENDING_REVIEW,2026-03-02T21:06:35.886461
@voidpilled,"recently overheard this:
""everything is a win when the goal is experience"" and my brain chemistry is forever changed. consciousness isn't what you think it is.",unknown,https://x.com/bluewmist/status/2028374748996964607,1567,20,"recently overheard this:
""everything is a win when the goal is experience"" and my brain chemistry is forever changed",PENDING_REVIEW,2026-03-02T21:06:35.886468
@voidpilled,"deep pattern: focus all your time/energy on ai.

put all your savings in btc. most people can't see it because they're not looking.",unknown,https://x.com/damianplayer/status/2028140112781918303,1347,20,"focus all your time/energy on AI.

put all your savings in BTC. 

thats the thesis.",PENDING_REVIEW,2026-03-02T21:06:35.886473
@voidpilled,"longevity’s strongest correlate is having a dependable partner.

we are creatures whose optimal biology requires tigh.... consciousness isn't what you think it is.",unknown,https://x.com/davidasinclair/status/2027778191293657434,902,20,"Longevity’s strongest correlate is having a dependable partner.

We are creatures whose optimal biology requires tight social bonds, presumably because our ancestors’ survival once depended on them.

",PENDING_REVIEW,2026-03-02T21:06:35.886478
@voidpilled,"deep pattern: pasteurized milk honestly isn't much worse than raw milk

even when pasteurized, milk still contains:
- tons of leuci.... most people can't see it because they're not looking.",unknown,https://x.com/aestheticprimal/status/2027395033364570137,717,20,"pasteurized milk honestly isn't much worse than raw milk

even when pasteurized, milk still contains:
- tons of leucine (most anabolic amino)
- miRNA's that affect epigenetics
- great calcium:phosphat",PENDING_REVIEW,2026-03-02T21:06:35.886486
@voidpilled,"deep pattern: low exposure girl trait #296

energetic 

when you don’t carry the weight of your sins and your heart is fully intact.... most people can't see it because they're not looking.",unknown,https://x.com/bayneframer/status/2027457417131528281,301,20,"Low exposure girl trait #296

Energetic 

When you don’t carry the weight of your sins and your heart is fully intact you still believe in magic 

You’re easy to excite

Once a girl loses that it’s go",PENDING_REVIEW,2026-03-02T21:06:35.886492
