tweet_text,source_alpha_id,account,status,created_date
geoDuels - I built a 100% free GeoGuessr clone in my mom's basement. apply this like progressive overload. small gains compound.,ALPHA1773994670,@repscheme,PENDING_REVIEW,2026-03-21
your excuses don't burn calories. geoDuels - I built a 100% free GeoGuessr clone in my mom's basement. start today.,ALPHA1773994670,@repscheme,PENDING_REVIEW,2026-03-21
grind doesn't care about your feelings. geoDuels - I built a 100% free GeoGuessr clone in my mom's basement. just show up.,ALPHA1773994670,@repscheme,PENDING_REVIEW,2026-03-21
"geoDuels - I built a 100% free GeoGuessr clone in my mom's basement. same energy as hitting a PR. consistent effort, real results.",ALPHA1773994670,@repscheme,PENDING_REVIEW,2026-03-21
"CHUCK NORRIS DIES AT 86, FAMILY STATEMENT ON INSTAGRAM SAYS. apply this like progressive overload. small gains compound.",ALPHA1773994640,@repscheme,PENDING_REVIEW,2026-03-21
"grind doesn't care about your feelings. CHUCK NORRIS DIES AT 86, FAMILY STATEMENT ON INSTAGRAM SAYS. just show up.",ALPHA1773994640,@repscheme,PENDING_REVIEW,2026-03-21
"CHUCK NORRIS DIES AT 86, FAMILY STATEMENT ON INSTAGRAM SAYS. same energy as hitting a PR. consistent effort, real results.",ALPHA1773994640,@repscheme,PENDING_REVIEW,2026-03-21
"the discipline is the same whether it's reps or revenue. CHUCK NORRIS DIES AT 86, FAMILY STATEMENT ON INSTAGRAM SAYS.",ALPHA1773994640,@repscheme,PENDING_REVIEW,2026-03-21
"your excuses don't burn calories. canadian Core Retail Sales MoM Actual 0.8% (Forecast 1.2%, Previous 0.1%). start today.",ALPHA1773994652,@repscheme,PENDING_REVIEW,2026-03-21
"canadian Core Retail Sales MoM Actual 0.8% (Forecast 1.2%, Previous 0.1%). same energy as hitting a PR. consistent effort, real results.",ALPHA1773994652,@repscheme,PENDING_REVIEW,2026-03-21
"grind doesn't care about your feelings. canadian Core Retail Sales MoM Actual 0.8% (Forecast 1.2%, Previous 0.1%). just show up.",ALPHA1773994652,@repscheme,PENDING_REVIEW,2026-03-21
"canadian Core Retail Sales MoM Actual 0.8% (Forecast 1.2%, Previous 0.1%). apply this like progressive overload. small gains compound.",ALPHA1773994652,@repscheme,PENDING_REVIEW,2026-03-21
"canadian Retail Sales MoM Actual 1.1% (Forecast 1.5%, Previous -0.4%). apply this like progressive overload. small gains compound.",ALPHA1773994653,@repscheme,PENDING_REVIEW,2026-03-21
"canadian Retail Sales MoM Actual 1.1% (Forecast 1.5%, Previous -0.4%). same energy as hitting a PR. consistent effort, real results.",ALPHA1773994653,@repscheme,PENDING_REVIEW,2026-03-21
"your excuses don't burn calories. canadian Retail Sales MoM Actual 1.1% (Forecast 1.5%, Previous -0.4%). start today.",ALPHA1773994653,@repscheme,PENDING_REVIEW,2026-03-21
"no shortcuts. canadian Retail Sales MoM Actual 1.1% (Forecast 1.5%, Previous -0.4%). put in the work and the numbers follow.",ALPHA1773994653,@repscheme,PENDING_REVIEW,2026-03-21
"your excuses don't burn calories. residents exiting Massachusetts took a net of $4.2 Billion in adjusted gross income with them in 2023, one of the largest totals in the country, after a tax on millionaires took.... start today.",ALPHA1773994656,@repscheme,PENDING_REVIEW,2026-03-21
"residents exiting Massachusetts took a net of $4.2 Billion in adjusted gross income with them in 2023, one of the largest totals in the country, after a tax on millionaires took.... apply this like progressive overload. small gains compound.",ALPHA1773994656,@repscheme,PENDING_REVIEW,2026-03-21
"the body keeps score and so does the algorithm. residents exiting Massachusetts took a net of $4.2 Billion in adjusted gross income with them in 2023, one of the largest totals in the country, after a tax on millionaires took....",ALPHA1773994656,@repscheme,PENDING_REVIEW,2026-03-21
grind doesn't care about your feelings. super Micro $SMCI stock is down by almost 30% so far today. just show up.,ALPHA1773994658,@repscheme,PENDING_REVIEW,2026-03-21
"super Micro $SMCI stock is down by almost 30% so far today. same energy as hitting a PR. consistent effort, real results.",ALPHA1773994658,@repscheme,PENDING_REVIEW,2026-03-21
your excuses don't burn calories. super Micro $SMCI stock is down by almost 30% so far today. start today.,ALPHA1773994658,@repscheme,PENDING_REVIEW,2026-03-21
no shortcuts. super Micro $SMCI stock is down by almost 30% so far today. put in the work and the numbers follow.,ALPHA1773994658,@repscheme,PENDING_REVIEW,2026-03-21
"@AnthropicAI just made Claude Code remote-controlled. Meet Channels.. same energy as hitting a PR. consistent effort, real results.",ALPHA1773994660,@repscheme,PENDING_REVIEW,2026-03-21
