synergy_id,method_1,method_2,synergy_score,synergy_type,revenue_multiplier,implementation_notes,example_stack,priority
SYN001,MM001,AI005,95,Build app + influencer promo + info product + clipper network,2.5,"Stack: App for lead capture, influencer for traffic, course for monetization",,HIGH
SYN002,MM001,CF007,95,Build app + influencer promo + info product + clipper network,2.5,"Stack: App for lead capture, influencer for traffic, course for monetization",,HIGH
SYN003,MM001,MM002,95,Build app + influencer promo + info product + clipper network,2.5,"Stack: App for lead capture, influencer for traffic, course for monetization",,HIGH
SYN004,MM001,MM009,95,Build app + influencer promo + info product + clipper network,2.5,"Stack: App for lead capture, influencer for traffic, course for monetization",,HIGH
SYN005,MM001,MM017,95,Build app + influencer promo + info product + clipper network,2.5,"Stack: App for lead capture, influencer for traffic, course for monetization",,HIGH
SYN006,MM001,MM019,95,Build app + influencer promo + info product + clipper network,2.5,"Stack: App for lead capture, influencer for traffic, course for monetization",,HIGH
SYN007,MM002,AI001,90,Expert persona + content + outbound + newsletter,2.2,"Stack: Niche expert account builds authority, sells courses",,HIGH
SYN008,MM002,MM006,90,Expert persona + content + outbound + newsletter,2.2,"Stack: Niche expert account builds authority, sells courses",,HIGH
SYN009,MM002,MM007,90,Expert persona + content + outbound + newsletter,2.2,"Stack: Niche expert account builds authority, sells courses",,HIGH
SYN010,MM002,MM015,90,Expert persona + content + outbound + newsletter,2.2,"Stack: Niche expert account builds authority, sells courses",,HIGH
SYN011,MM002,MM030,90,Expert persona + content + outbound + newsletter,2.2,"Stack: Niche expert account builds authority, sells courses",,HIGH
SYN012,MM003,CF008,85,Finance/tech content + SEO + products + newsletter + Pinterest,2.0,"Stack: SEO content drives affiliate, course converts warmest leads",,MEDIUM
SYN013,MM003,CF009,85,Finance/tech content + SEO + products + newsletter + Pinterest,2.0,"Stack: SEO content drives affiliate, course converts warmest leads",,MEDIUM
SYN014,MM003,MM002,85,Finance/tech content + SEO + products + newsletter + Pinterest,2.0,"Stack: SEO content drives affiliate, course converts warmest leads",,MEDIUM
SYN015,MM003,MM015,85,Finance/tech content + SEO + products + newsletter + Pinterest,2.0,"Stack: SEO content drives affiliate, course converts warmest leads",,MEDIUM
SYN016,MM003,MM038,85,Finance/tech content + SEO + products + newsletter + Pinterest,2.0,"Stack: SEO content drives affiliate, course converts warmest leads",,MEDIUM
SYN017,MM004,MM007,80,Cold outbound + expert positioning + tech content + AI wrappers,1.8,"Stack: Expert content builds trust, outbound closes deals",,MEDIUM
SYN018,MM004,AI001,80,Cold outbound + expert positioning + tech content + AI wrappers,1.8,"Stack: Expert content builds trust, outbound closes deals",,MEDIUM
SYN019,MM004,CF009,80,Cold outbound + expert positioning + tech content + AI wrappers,1.8,"Stack: Expert content builds trust, outbound closes deals",,MEDIUM
SYN020,MM004,MM027,80,Cold outbound + expert positioning + tech content + AI wrappers,1.8,"Stack: Expert content builds trust, outbound closes deals",,MEDIUM
SYN021,MM004,MM028,80,Cold outbound + expert positioning + tech content + AI wrappers,1.8,"Stack: Expert content builds trust, outbound closes deals",,MEDIUM
SYN022,MM005,AI001,85,Expert account + UGC sourcing + outbound + local lead gen + white label,2.0,"Stack: Niche expert shows portfolio, outbound generates leads",,MEDIUM
SYN023,MM005,MM008,85,Expert account + UGC sourcing + outbound + local lead gen + white label,2.0,"Stack: Niche expert shows portfolio, outbound generates leads",,MEDIUM
SYN024,MM005,MM007,85,Expert account + UGC sourcing + outbound + local lead gen + white label,2.0,"Stack: Niche expert shows portfolio, outbound generates leads",,MEDIUM
SYN025,MM005,MM029,85,Expert account + UGC sourcing + outbound + local lead gen + white label,2.0,"Stack: Niche expert shows portfolio, outbound generates leads",,MEDIUM
SYN026,MM005,MM033,85,Expert account + UGC sourcing + outbound + local lead gen + white label,2.0,"Stack: Niche expert shows portfolio, outbound generates leads",,MEDIUM
SYN027,MM006,CF001-CF013,95,All content sub-methods + AI personas + YouTube,2.3,Stack: Content accounts drive traffic to monetization methods,,HIGH
SYN028,MM006,MM009,95,All content sub-methods + AI personas + YouTube,2.3,Stack: Content accounts drive traffic to monetization methods,,HIGH
SYN029,MM006,MM014,95,All content sub-methods + AI personas + YouTube,2.3,Stack: Content accounts drive traffic to monetization methods,,HIGH
SYN030,MM006,MM035,95,All content sub-methods + AI personas + YouTube,2.3,Stack: Content accounts drive traffic to monetization methods,,HIGH
SYN031,MM006,MM039,95,All content sub-methods + AI personas + YouTube,2.3,Stack: Content accounts drive traffic to monetization methods,,HIGH
SYN032,MM007,MM004,90,SaaS/agency sales + expert positioning + newsletter + local lead gen,2.1,"Stack: Expert account warms leads, outbound converts",,HIGH
SYN033,MM007,MM005,90,SaaS/agency sales + expert positioning + newsletter + local lead gen,2.1,"Stack: Expert account warms leads, outbound converts",,HIGH
SYN034,MM007,AI001,90,SaaS/agency sales + expert positioning + newsletter + local lead gen,2.1,"Stack: Expert account warms leads, outbound converts",,HIGH
SYN035,MM007,MM015,90,SaaS/agency sales + expert positioning + newsletter + local lead gen,2.1,"Stack: Expert account warms leads, outbound converts",,HIGH
SYN036,MM007,MM029,90,SaaS/agency sales + expert positioning + newsletter + local lead gen,2.1,"Stack: Expert account warms leads, outbound converts",,HIGH
SYN037,MM008,MM005,80,Agency fulfillment + lifestyle content + TikTok Shop + POD,1.7,Stack: Cheap UGC sourcing supplies agency work,,MEDIUM
SYN038,MM008,AI006,80,Agency fulfillment + lifestyle content + TikTok Shop + POD,1.7,Stack: Cheap UGC sourcing supplies agency work,,MEDIUM
SYN039,MM008,CF005,80,Agency fulfillment + lifestyle content + TikTok Shop + POD,1.7,Stack: Cheap UGC sourcing supplies agency work,,MEDIUM
SYN040,MM008,MM016,80,Agency fulfillment + lifestyle content + TikTok Shop + POD,1.7,Stack: Cheap UGC sourcing supplies agency work,,MEDIUM
SYN041,MM008,MM024,80,Agency fulfillment + lifestyle content + TikTok Shop + POD,1.7,Stack: Cheap UGC sourcing supplies agency work,,MEDIUM
SYN042,MM009,AI001-AI008,95,All AI personas + content + info products + TikTok Shop + X monetization,2.5,"Stack: AI persona builds audience, monetizes via products",,HIGH
SYN043,MM009,MM006,95,All AI personas + content + info products + TikTok Shop + X monetization,2.5,"Stack: AI persona builds audience, monetizes via products",,HIGH
SYN044,MM009,MM002,95,All AI personas + content + info products + TikTok Shop + X monetization,2.5,"Stack: AI persona builds audience, monetizes via products",,HIGH
SYN045,MM009,MM016,95,All AI personas + content + info products + TikTok Shop + X monetization,2.5,"Stack: AI persona builds audience, monetizes via products",,HIGH
SYN046,MM009,MM040,95,All AI personas + content + info products + TikTok Shop + X monetization,2.5,"Stack: AI persona builds audience, monetizes via products",,HIGH
SYN047,MM010,CF006,90,Clip channels + meme accounts + content + TikTok creativity + Shorts,2.2,"Stack: Clips drive views, memes expand reach",,HIGH
