directory_id,directory_name,url,category,cost,da_estimate,do_follow,turnaround_days,best_for,notes,status,reviewer_notes
LD001,Product Hunt,https://producthunt.com,LAUNCH_PLATFORM,$0,92,YES,1,"Apps SaaS tools","Top tier. prepare 2 weeks before launch. get hunters. schedule for Tuesday 12:01am PT.",PENDING_REVIEW,Must-do for any product launch
LD002,Hacker News (Show HN),https://news.ycombinator.com,LAUNCH_PLATFORM,$0,92,YES,1,"Dev tools SaaS open source","Show HN post. technical audience. avoid marketing speak. be honest about what it does.",PENDING_REVIEW,High traffic but brutal feedback
LD003,BetaList,https://betalist.com,STARTUP_DIRECTORY,$0-$129,74,YES,3-7,"Early stage startups SaaS","Free for basic listing. paid for featured. good for pre-launch email collection.",PENDING_REVIEW,Good for collecting early adopters
LD004,Launching Next,https://launchingnext.com,STARTUP_DIRECTORY,$0,50,YES,1-3,"Startups apps SaaS","Submit and get listed. lower traffic than PH but still worth it.",PENDING_REVIEW,Quick submission
LD005,SaaSHub,https://saashub.com,SAAS_DIRECTORY,$0,62,YES,3-7,"SaaS tools","Compare with alternatives. good for SEO. claim your listing.",PENDING_REVIEW,Good for SaaS comparison traffic
LD006,AlternativeTo,https://alternativeto.net,SOFTWARE_DIRECTORY,$0,82,YES,1-3,"Any software or app","User-suggested alternatives. high DA. add your product as alternative to competitors.",PENDING_REVIEW,High DA backlink. Must add as alternative to known product.
LD007,G2,https://g2.com,REVIEW_PLATFORM,$0,92,YES,7-14,"B2B SaaS","Claim profile. collect reviews. critical for enterprise sales. G2 badges = social proof.",PENDING_REVIEW,Enterprise social proof. Get 10 reviews fast.
LD008,Capterra,https://capterra.com,REVIEW_PLATFORM,$0,93,YES,7-14,"B2B SaaS","Free listing. paid for promoted placement. high DA backlink.",PENDING_REVIEW,Huge DA. Free listing worth it alone.
LD009,AppSumo,https://appsumo.com,DEAL_PLATFORM,$0 (rev share),89,YES,14-30,"SaaS tools digital products","Lifetime deal model. high volume but low per-unit revenue. good for launch momentum.",PENDING_REVIEW,Volume play. Careful with LTD pricing.
LD010,Indie Hackers,https://indiehackers.com,COMMUNITY,$0,74,YES,1,"Indie products SaaS","Post in products section. engage in community. be transparent about revenue.",PENDING_REVIEW,Community engagement required
LD011,There's An AI For That,https://theresanaiforthat.com,AI_DIRECTORY,$0-$149,72,YES,1-7,"AI tools AI apps","Biggest AI tool directory. must-list for any AI product.",PENDING_REVIEW,Must-do for AI products
LD012,Futurepedia,https://futurepedia.io,AI_DIRECTORY,$0-$99,65,YES,3-7,"AI tools","Growing AI directory. good backlink.",PENDING_REVIEW,Second tier AI directory
LD013,ToolPilot.ai,https://toolpilot.ai,AI_DIRECTORY,$0,55,YES,1-3,"AI tools","Free AI tool listing.",PENDING_REVIEW,Free. Quick submission.
LD014,Ben's Bites Directory,https://bensbites.com,AI_DIRECTORY,$0,60,YES,3-7,"AI tools startups","Ben's Bites newsletter has a directory. high-signal AI audience.",PENDING_REVIEW,High-signal audience
LD015,Uneed,https://uneed.best,STARTUP_DIRECTORY,$0,45,YES,1-3,"Startups SaaS tools","Simple submission. quick turnaround.",PENDING_REVIEW,Quick and easy
LD016,Microlaunch,https://microlaunch.net,STARTUP_DIRECTORY,$0,40,YES,1,"Micro SaaS indie products","Focused on small/indie products. less competition than PH.",PENDING_REVIEW,Good for micro SaaS
LD017,StartupBase,https://startupbase.io,STARTUP_DIRECTORY,$0,42,YES,3-7,"Startups","Brazilian startup directory. good for LATAM expansion.",PENDING_REVIEW,LATAM market
